domain,domain_weight_pct,task_id,task_statement,knowledge_required,skills_required,suggested_concepts,coverage_status,notes
Design Secure Architectures,30,1.1,Design secure access to AWS resources,"Access controls and management across multiple accounts; AWS federated access and identity services (IAM Identity Center, Cognito); AWS global infrastructure (Regions, AZs); AWS security best practices (least privilege, root user protection); AWS Shared Responsibility Model","Apply AWS security best practices to IAM users and root users; design a flexible authorization model with users, groups, roles, and policies; design a security strategy for multiple AWS accounts; determine the appropriate use of resource-based policies, service control policies, and trust policies; determine when to federate a directory service with IAM roles","iam-fundamentals,iam-roles-vs-policies,iam-identity-center-sso,scp-organizations,iam-permissions-boundaries,iam-access-analyzer,directory-service,cognito",covered,All 8 KG concepts mapped; high coverage
Design Secure Architectures,30,1.2,Design secure workloads and applications,"Application configuration and credentials security; AWS service endpoints; control ports, protocols, and network traffic on AWS; secure application access; security services with appropriate use cases (Cognito, GuardDuty, Macie, Inspector); threat vectors external to AWS (DDoS, SQLi, etc.)","Design VPC architectures with security components (security groups, route tables, NACLs, NAT gateways); determine network segmentation strategies (public and private subnets); integrate AWS services to secure applications (AWS Shield, WAF, Cognito); secure external network connections to and from the AWS Cloud","vpc-fundamentals,vpc-endpoints,security-groups-vs-nacls,shield-waf,waf-rules-shield-advanced,cognito,guardduty,inspector,api-gateway,site-to-site-vpn-vs-client-vpn",partial,Missing dedicated waf-rules concept; create or rely on shield-waf
Design Secure Architectures,30,1.3,Determine appropriate data security controls,"Data access and governance; data recovery; data retention and classification; encryption and appropriate key management","Align AWS technologies to meet compliance requirements; encrypt data at rest (KMS); encrypt data in transit (ACM, TLS); implement access policies for encryption keys; implement data backups and replication; implement policies for data access, lifecycle, and protection; rotate encryption keys and renew certificates","kms-encryption,acm-certificate-manager,secrets-manager,s3-security,s3-object-lock,s3-access-points,s3-replication,macie,aws-backup,rds-backups-snapshots",covered,Strong coverage; KMS rotation could deserve its own concept later
Design Resilient Architectures,26,2.1,Design scalable and loosely coupled architectures,"AWS managed services with appropriate use cases (SQS, SNS, EventBridge, Step Functions); caching strategies; design principles for microservices (stateless workloads vs stateful); event-driven architectures; horizontal scaling vs vertical scaling; how to appropriately use edge accelerators (CloudFront); how to migrate applications into containers; load balancing concepts (ELB types); multi-tier architectures; queuing and messaging concepts; serverless technologies and patterns; storage types with associated characteristics; the orchestration of containers (ECS, EKS); when to use read replicas","Design event-driven, microservice, and/or multi-tier architectures based on requirements; determine scaling strategies; determine the AWS services required to achieve loose coupling; determine when to use containers; determine when to use serverless; recommend appropriate compute, storage, networking, and database services for scalability","sqs-vs-sns-vs-eventbridge,step-functions,eventbridge-pipes-schedules,appsync-graphql,ec2-auto-scaling,elb-types,ecs-vs-eks-vs-fargate,fargate-vs-lambda,lambda-patterns,lambda-performance,api-gateway,cloudfront-caching,elasticache,rds-read-replicas",covered,All 14 mapped
Design Resilient Architectures,26,2.2,Design highly available and/or fault-tolerant architectures,"AWS global infrastructure (multi-Region, multi-AZ); DR strategies (backup-and-restore, pilot light, warm standby, multi-site active-active); how AWS services achieve fault tolerance; immutable infrastructure; load balancing; networking concepts (Route 53 routing policies); replication; storage options and characteristics (durability and availability); workload visibility (X-Ray)","Determine automation strategies to ensure infrastructure integrity; determine the AWS services required to provide a highly available and/or fault-tolerant architecture; identify metrics based on business requirements to deliver a highly available solution; implement designs to mitigate single points of failure; implement strategies to ensure data durability","rds-multi-az,aurora-global,dynamodb-resilience,s3-replication,route53-routing,elb-types,ec2-auto-scaling,ec2-placement-groups,aws-backup,storage-gateway,datasync,snow-family,site-to-site-vpn-vs-client-vpn,direct-connect,transit-gateway,vpc-peering",covered,16 concepts mapped; very high coverage
Design High-Performing Architectures,24,3.1,Determine high-performing and/or scalable storage solutions,"Hybrid storage solutions to meet business requirements; storage services with appropriate use cases (S3, EBS, EFS, FSx, Storage Gateway); storage types with associated characteristics (object, block, file)","Determine storage services and configurations that meet performance demands; determine storage services that can scale to accommodate future needs","s3-storage-classes,ebs-volume-types,efs-vs-fsx,storage-gateway,s3-lifecycle,s3-intelligent-tiering",covered,All major storage services covered
Design High-Performing Architectures,24,3.2,Design high-performing and elastic compute solutions,"AWS compute services with appropriate use cases (EC2, Lambda, ECS, EKS, Fargate, Batch); distributed computing concepts; queuing and messaging concepts (publish-subscribe); scalability capabilities with appropriate use cases (Auto Scaling, Spot Fleet); serverless technologies and patterns (Lambda, Fargate); the orchestration of containers (ECS, EKS); when to use edge accelerators (CloudFront, Global Accelerator)","Decouple workloads to enable components to scale independently; identify metrics and conditions to perform scaling actions; select appropriate compute options and features (EC2 instance types) to meet business requirements; select appropriate resource type and size (Lambda memory) to meet business requirements","ec2-instance-types,ec2-pricing-models,ec2-auto-scaling,ec2-placement-groups,spot-fleet-strategies,ec2-dedicated-hosts,lambda-patterns,lambda-performance,lambda-edge-vs-cloudfront-functions,ecs-vs-eks-vs-fargate,fargate-vs-lambda,fargate-spot,cloudfront-caching,global-accelerator",covered,14 concepts mapped
Design High-Performing Architectures,24,3.3,Determine high-performing database solutions,"AWS global infrastructure (replication, latency); caching strategies and services (ElastiCache, DAX); data access patterns (read-heavy vs write-heavy); database capacity planning (storage capacity, throughput); database connections and proxies (RDS Proxy); database engines with appropriate use cases (relational vs NoSQL); database replication (read replicas); database types and services (Aurora, DynamoDB, Redshift, Neptune)","Apply database concepts, design principles, and architecture patterns; determine an appropriate database engine; determine an appropriate database type; integrate caching to meet business requirements","rds-multi-az,rds-read-replicas,aurora-global,aurora-performance,dynamodb-performance,dynamodb-resilience,elasticache,elasticache-redis-vs-memcached,redshift-fundamentals,rds-proxy,rds-backups-snapshots",covered,11 concepts mapped
Design High-Performing Architectures,24,3.4,Determine high-performing and/or scalable network architectures,"Edge networking services with appropriate use cases (CloudFront, Global Accelerator); how to design network architecture (subnet tiers, routing); load balancing concepts (ALB, NLB, GWLB); network connection options (VPN, Direct Connect)","Create a network topology for various architectures (public vs private subnets); determine network configurations that can scale to accommodate future needs; determine the appropriate placement of resources to meet business requirements; select the appropriate load balancing strategy","vpc-fundamentals,vpc-endpoints,vpc-peering,transit-gateway,direct-connect,site-to-site-vpn-vs-client-vpn,elb-types,cloudfront-caching,cloudfront-security,global-accelerator,route53-routing",covered,11 concepts mapped
Design High-Performing Architectures,24,3.5,Determine high-performing data ingestion and transformation solutions,"Data analytics and visualization services with appropriate use cases (Athena, Lake Formation, QuickSight, Redshift); data ingestion patterns; data transfer services with appropriate use cases (DataSync, Storage Gateway, Snow Family); data transformation services (Glue, EMR, Lambda); secure access to ingestion access points; sizes and speeds needed to meet business requirements; streaming data services with appropriate use cases (Kinesis Data Streams, Kinesis Data Firehose, Managed Service for Apache Flink)","Build and secure data lakes; design data streaming architectures; design data transfer solutions; implement visualization strategies; select appropriate compute options for data processing (EMR); select appropriate configurations for ingestion","kinesis-streams-vs-firehose,sqs-vs-sns-vs-eventbridge,datasync,snow-family,storage-gateway,redshift-fundamentals,athena-fundamentals,glue-catalog-etl,lake-formation-governance,emr-overview,quicksight-overview,lambda-patterns,step-functions",covered,Full data-lake stack now in KG (Athena/Glue/Lake Formation/EMR/QuickSight)
Design Cost-Optimized Architectures,20,4.1,Design cost-optimized storage solutions,"Access options for data (Athena vs Glacier retrieval); AWS cost management tools and services (Cost Explorer, Budgets, Cost and Usage Report); AWS storage services with appropriate use cases; backup strategies; block storage options (EBS volume types and HDD vs SSD); data lifecycles; hybrid storage options (DataSync, Storage Gateway); storage access patterns; storage tiering (S3 Standard, IA, Glacier); storage types with associated characteristics","Design appropriate storage strategies (S3 Intelligent-Tiering); determine the correct storage size for a workload; determine the lowest-cost method of transferring data for a workload (Snow vs DataSync); manage S3 object lifecycles; select appropriate backup and/or archive solutions; select appropriate data access and retrieval patterns; select an appropriate storage tier","s3-storage-classes,s3-lifecycle,s3-intelligent-tiering,storage-tier-decision-matrix,ebs-volume-types,ebs-cost-optimization,efs-vs-fsx,aws-backup,storage-gateway,datasync,snow-family",covered,11 concepts mapped
Design Cost-Optimized Architectures,20,4.2,Design cost-optimized compute solutions,"AWS cost management service features (instance usage reports); AWS cost management tools (Cost Explorer, Budgets); AWS purchasing options (Reserved, Savings Plans, Spot); distributed compute strategies (edge processing); hybrid compute options (Outposts, Snow); instance types, families, and sizes (memory optimized, compute optimized); optimization of compute utilization (containers, serverless)","Determine an appropriate load balancing strategy; determine appropriate scaling methods and strategies for elastic workloads; determine cost-effective AWS compute services with appropriate use cases (Spot for batch); determine the required availability for different classes of workloads; select the appropriate instance family; select the appropriate instance size","ec2-pricing-models,savings-plans-strategy,spot-fleet-strategies,fargate-spot,ec2-dedicated-hosts,ec2-instance-types,compute-optimizer,fargate-vs-lambda,ec2-auto-scaling,lambda-performance",covered,10 concepts mapped
Design Cost-Optimized Architectures,20,4.3,Design cost-optimized database solutions,"AWS cost management service features; AWS cost management tools (Cost Explorer); caching strategies (offload reads from DB); data retention policies; database capacity planning; database connections and proxies; database engines with appropriate use cases; database replication; database types and services","Apply the appropriate database type and size; determine appropriate auto-scaling strategies (Aurora Serverless, DynamoDB On-Demand); determine the appropriate data store; migrate database schemas and data to different locations and/or different database engines (DMS); plan for backup and retention","aurora-performance,aurora-global,dynamodb-performance,dynamodb-resilience,elasticache,elasticache-redis-vs-memcached,rds-proxy,rds-backups-snapshots,redshift-fundamentals,aws-backup",covered,10 concepts mapped
Design Cost-Optimized Architectures,20,4.4,Design cost-optimized network architectures,"AWS cost management tools; load balancing concepts; NAT gateways (NAT instance vs NAT gateway costs); network connectivity options (VPN vs Direct Connect costs); network routing, topology, and peering; network services with appropriate use cases","Configure appropriate NAT gateway types; configure appropriate network connections (VPN vs Direct Connect); configure appropriate routes (private vs public traffic); determine strategic networking decisions to reduce cost; recommend appropriate network features based on cost (VPC endpoints to reduce NAT cost); select an appropriate bandwidth allocation","vpc-fundamentals,vpc-endpoints,vpc-peering,transit-gateway,direct-connect,site-to-site-vpn-vs-client-vpn,cloudfront-caching,global-accelerator,route53-routing,elb-types",covered,10 concepts mapped
